Package,Version
CCE,14.0.1
MPICH,8.1.17
DSMML,0.2.2
PMI,6.1.3
OpenSHMEMX,11.5.5
ATOMS,1.0.10
PALS,1.1.8
ATP,3.14.11
CCDB,4.12.11
cray-dyninst,12.1.0
CTI,2.15.12
gdb4hpc,4.14.1
sanitizers4hpc,1.0.0
STAT,4.11.10
valgrind4hpc,2.12.8
perftools,22.06.0
PAPI,6.0.0.15
LibSci,22.06.1.3
LibSci_acc,22.06.1.3
FFTW,3.3.10.1
craype-dl-plugin-py3,22.06.1
craypkg-gen,1.3.25
craype,2.7.16
cpe-prgenv,8.3.3
cray-lmod,8.3.1.0
modules,3.2.11.7
HDF5,1.12.1.5
NetCDF,4.8.1.5
parallel-netcdf,1.12.1.7
iobuf,2.0.10
GCC,11.2.0
GCC10,10.3.0
GCC11,11.2.0
cray-python,3.9.12.1
cray-R,4.1.3.1
jemalloc,5.1.0.4
AOCC,3.1.0
ROCM,5.1.0
intel,2022.1.2
NVIDIA,21.9
craype-targets,1.8.0
EasyBuild,4.6.0
